group;kingdom;phylum;class;order;family;genus;species
ASV00690;Fungi(100);Rozellomycota(60);Rozellomycotina_cls_Incertae_sedis(60);GS08(60);unclassified_GS08(60);unclassified_GS08(60);GS08_sp(60)
ASV00691;Fungi(100);Rozellomycota(71);unclassified_Rozellomycota(69);unclassified_Rozellomycota(69);unclassified_Rozellomycota(69);unclassified_Rozellomycota(69);Rozellomycota_sp(69)
ASV00692;Fungi(100);Basidiomycota(65);unclassified;unclassified;unclassified;unclassified;unclassified
ASV00693;Fungi(99);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00694;Fungi(100);Ascomycota(96);Dothideomycetes(93);Pleosporales(93);Leptosphaeriaceae(82);Plenodomus(81);Plenodomus_biglobosus(81)
ASV00695;Fungi(100);Basidiomycota(100);Tremellomycetes(100);Cystofilobasidiales(100);Cystofilobasidiaceae(100);Guehomyces(100);Guehomyces_pullulans(100)
ASV00696;Fungi(100);Basidiomycota(100);Agaricomycetes(100);Cantharellales(100);Ceratobasidiaceae(100);unclassified_Ceratobasidiaceae(92);Ceratobasidiaceae_sp(92)
ASV00697;Fungi(100);Ascomycota(100);Leotiomycetes(99);Helotiales(99);unclassified;unclassified;unclassified
ASV00698;Fungi(100);Ascomycota(100);Sordariomycetes(100);Sordariales(100);Lasiosphaeriaceae(100);Cercophora(100);Cercophora_samala(100)
ASV00699;Fungi(100);Ascomycota(97);Pezizomycetes(96);Pezizales(96);Ascobolaceae(96);Ascobolus(96);Ascobolus_sp(96)
ASV00700;Fungi(100);unclassified;unclassified;unclassified;unclassified;unclassified;unclassified
ASV00701;Fungi(100);Ascomycota(100);Sordariomycetes(100);Sordariales(100);Lasiosphaeriaceae(100);Cercophora(100);Cercophora_samala(100)
ASV00702;Fungi(100);Ascomycota(100);Sordariomycetes(100);Hypocreales(100);Clavicipitaceae(100);Metarhizium(100);Metarhizium_marquandii(100)
ASV00703;Fungi(100);Mortierellomycota(87);Mortierellomycetes(87);Mortierellales(87);unclassified_Mortierellales(87);unclassified_Mortierellales(87);Mortierellales_sp(87)
